Vendor SKU,Shape,Carat,Color,Fancy Color Description,Clarity,Cut,Depth,Table Percent,Polish,Crown Angle,Crown Height,Lower Half,Pavlilion Angle,Pavillion Depth,Star Length,Facet,Symmetry,Fluorescence,Measurements,Culet,Girdle,Cert Lab,Cert ID,Cert Lab 2,Cert ID 2,Vendor Price(Total),Vendor Price Per Carat,Memo Flag,Eye Clean,Milky,Brand,Inscription,Country Of Origin,Country of Manufacture ,Pic URL,Canada Mark,Rio Tinto,Comments
1116A,Round,0.8,D,,VS2,Very Good,59.7,59,Very Good,30,11.5,,41.2,,,,Excellent,None,6.04 - 6.03 x 3.60,None,Slightly Thick To Thick,GIA,1172532712,,,3347.4,4184.25,No,Yes,No,Regular,,ISR,ISR,,,,
1117A,Round,0.8,D,,VS2,Excellent,61.3,59,Excellent,35.5,15,,40.8,,,,Excellent,Faint Blue,6.00 - 5.96 x 3.67,None,Medium,GIA,6215155481,,,3438.96,4298.7,No,Yes,No,Regular,,ISR,ISR,,,,
1118A,Round,0.8,D,,VS2,Excellent,61.7,59,Excellent,35.5,15,,41,,,,Excellent,None,5.94 - 5.92 x 3.66,None,Medium To Slightly Thick,GIA,6232270532,,,3714.48,4643.1,No,Yes,No,Regular,,ISR,ISR,,,,
1127A,Round,0.92,E,,VS2,Excellent,60.5,61,Very Good,35,13.5,,41.4,,,,Very Good,Faint Blue,6.31 - 6.29 x 3.81,None,Thin To Medium,GIA,6215454727,,,4268.754,4639.95,No,Yes,No,Regular,,ISR,ISR,,,,
1128A,Round,0.9,E,,VVS2,Excellent,59.4,60,Excellent,33.5,13,,40.8,,,,Excellent,None,6.30 - 6.28 x 3.73,None,Medium,GIA,5203012367,,,5478.165,6086.85,No,Yes,No,Regular,,ISR,ISR,,,,
1132A,Round,0.9,D,,VVS2,Excellent,60.1,60,Excellent,33.5,13.5,,41.2,,,,Excellent,None,6.29 - 6.26 x 3.77,None,Medium To Slightly Thick,GIA,1205935012,,,5934.6,6594,No,Yes,No,Regular,,ISR,ISR,,,,
1133A,Round,0.9,D,,VVS1,Very Good,61.1,59,Excellent,34,14,,40.8,,,,Excellent,Faint Blue,6.22 - 6.17 x 3.79,None,Very Thin To Thick,GIA,7346609530,,,5674.725,6305.25,No,Yes,No,Regular,,ISR,ISR,,,,
1135A,Round,0.91,D,,IF,Excellent,59,61,Excellent,33.5,13,,40.8,,,,Excellent,None,6.34 - 6.31 x 3.73,None,Thin To Medium,GIA,3205788401,,,8573.7015,9421.65,No,Yes,No,Regular,,ISR,ISR,,,,
1152B,Round,1.07,F,,SI1,Excellent,61.7,57,Excellent,34,14.5,,41,,,,Excellent,None,6.59 - 6.56 x 4.05,None,Medium To Slightly Thick,GIA,2146835151,,,5575.9305,5211.15,No,Yes,No,Regular,,ISR,ISR,,,,
1165A,Round,1.01,E,,SI1,Very Good,60.9,62,Excellent,30.5,11.5,,42.2,,,,Very Good,None,6.48 - 6.46 x 3.94,None,Medium To Slightly Thick,GIA,6345833294,,,5230.386,5178.6,No,Yes,No,Regular,,ISR,ISR,,,,
1167A,Round,1.03,E,,SI1,Excellent,59.8,60,Excellent,31.5,12.5,,41.8,,,,Excellent,None,6.64 - 6.59 x 3.95,None,Thin To Medium,GIA,1349752125,,,5672.4675,5507.25,No,Yes,No,Regular,,ISR,ISR,,,,
1168A,Round,1.01,E,,SI1,Excellent,60.6,60,Excellent,31.5,12.5,,41.8,,,,Excellent,None,6.54 - 6.51 x 3.95,None,Medium To Slightly Thick,GIA,5206978481,,,5562.3225,5507.25,No,Yes,No,Regular,,ISR,ISR,,,,
1169A,Round,1.01,E,,SI1,Excellent,61.8,55,Excellent,35,16,,41,,,,Excellent,None,6.47 - 6.45 x 3.99,None,Thin To Medium,GIA,1258066695,,,5562.3225,5507.25,No,Yes,No,Regular,,ISR,ISR,,,,
1170A,Round,1.01,E,,SI1,Excellent,59.6,61,Very Good,33,12.5,,40.8,,,,Very Good,None,6.52 - 6.49 x 3.88,None,Medium To Slightly Thick,GIA,6222366792,,,5230.386,5178.6,No,Yes,No,Regular,,ISR,ISR,,,,
1171A,Round,1.09,E,,VS2,Excellent,61.5,59,Excellent,33.5,13.5,,41.8,,,,Excellent,Faint Blue,6.68 - 6.63 x 4.09,None,Thin To Medium,GIA,6341832901,,,6758.2725,6200.25,No,Yes,No,Regular,,ISR,ISR,,,,
1175A,Round,1.01,D,,SI2,Excellent,61.4,59,Excellent,33,13.5,,41.6,,,,Excellent,None,6.47 - 6.44 x 3.96,None,Medium To Slightly Thick,GIA,7251342935,,,4828.4565,4780.65,No,Yes,No,Regular,,ISR,ISR,,,,
1176A,Round,1.05,D,,SI2,Excellent,60.8,57,Excellent,34.5,14.5,,40.6,,,,Excellent,None,6.57 - 6.56 x 3.99,None,Medium To Slightly Thick,GIA,7258341990,,,5166.315,4920.3,No,Yes,No,Regular,,ISR,ISR,,,,
1178A,Round,1.01,D,,SI1,Excellent,61.3,56,Excellent,35,15.5,,41,,,,Excellent,None,6.51 - 6.48 x 3.98,None,Thin To Medium,GIA,6345753677,,,5766.999,5709.9,No,Yes,No,Regular,,ISR,ISR,,,,
1179A,Round,1.01,D,,SI1,Very Good,56.8,63,Excellent,29,10.5,,41.2,,,,Very Good,None,6.74 - 6.67 x 3.81,None,Very Thin To Medium,GIA,7343830325,,,5418.0945,5364.45,No,Yes,No,Regular,,ISR,ISR,,,,
1184A,Round,1.02,D,,VS2,Very Good,58.7,62,Excellent,31.5,11.5,,41.6,,,,Very Good,None,6.68 - 6.63 x 3.91,None,Thin To Medium,GIA,6341606483,,,6485.976,6358.8,No,Yes,No,Regular,,ISR,ISR,,,,
1185A,Round,1.01,D,,VS1,Good,57.8,61,Very Good,32.5,12.5,,39.8,,,,Very Good,Faint Blue,6.58 - 6.54 x 3.79,None,Medium To Slightly Thick,GIA,2205798359,,,5577.1695,5521.95,No,Yes,No,Regular,,ISR,ISR,,,,
1186A,Round,1.01,D,,VS1,Very Good,57.7,62,Excellent,32,12,,40.4,,,,Excellent,None,6.60 - 6.57 x 3.80,None,Medium To Slightly Thick,GIA,2348606509,,,7032.1755,6962.55,No,Yes,No,Regular,,ISR,ISR,,,,
1187A,Round,1,D,,VS1,Very Good,58.1,60,Excellent,33,13,,40.4,,,,Very Good,None,6.60 - 6.57 x 3.83,None,Thin To Medium,GIA,1129623277,,,6722.1,6722.1,No,Yes,No,Regular,,ISR,ISR,,,,
1191A,Round,1,D,,IF,Good,58.1,63,Very Good,33.5,12.5,,40.2,,,,Good,None,6.52 - 6.49 x 3.78,None,Slightly Thick To Thick,GIA,5202798361,,,9863.7,9863.7,No,Yes,No,Regular,,ISR,ISR,,,,
1195A,Round,1.22,F,,SI1,Excellent,61.2,61,Excellent,33,12.5,,41.8,,,,Excellent,None,6.90 - 6.85 x 4.21,None,Medium To Slightly Thick,GIA,6221910879,,,7031.409,5763.45,No,Yes,No,Regular,,ISR,ISR,,,,
1199B,Round,1.22,E,,VS2,Excellent,60.2,59,Excellent,34,14,,40.6,,,,Excellent,Faint Blue,6.92 - 6.90 x 4.16,None,Medium To Slightly Thick,GIA,1137082248,,,8284.227,6790.35,No,Yes,No,Regular,,ISR,ISR,,,,
1199D,Round,1.22,E,,VS1,Excellent,59.8,58,Excellent,33.5,14,,40.8,,,,Excellent,None,6.98 - 6.94 x 4.16,None,Thin To Slightly Thick,GIA,6342358900,,,9784.278,8019.9,No,Yes,No,Regular,,ISR,ISR,,,,
1200A,Round,1.2,E,,VVS2,Excellent,61.8,59,Excellent,36,15,,41,,,,Excellent,None,6.83 - 6.79 x 4.21,None,Thin To Slightly Thick,GIA,7268040199,,,10135.44,8446.2,No,Yes,No,Regular,,ISR,ISR,,,,
1201A,Round,1.2,E,,VVS2,Very Good,58.6,61,Excellent,32,12,,41.4,,,,Excellent,None,7.04 - 6.99 x 4.11,None,Thin To Medium,GIA,1347830848,,,9422.28,7851.9,No,Yes,No,Regular,,ISR,ISR,,,,
1202B,Round,1.24,D,,SI1,Excellent,60.9,56,Excellent,34,15,,40.8,,,,Excellent,Faint Blue,6.99 - 6.97 x 4.25,None,Thin To Medium,GIA,2347358975,,,7509.936,6056.4,No,Yes,No,Regular,,ISR,ISR,,,,
1204A,Round,1.23,D,,VS2,Excellent,60.4,60,Excellent,32.5,13,,41.4,,,,Excellent,None,6.98 - 6.95 x 4.21,None,Medium,GIA,2208728661,,,9386.622,7631.4,No,Yes,No,Regular,,ISR,ISR,,,,
1189H,Round,1.13,D,,VVS2,Excellent,60.7,57,Excellent,31.5,13.5,,41.8,,,,Excellent,None,6.78 - 6.81 x 4.12,None,Thin To Medium,GIA,2201798275,,,10779.3525,9539.25,No,Yes,No,Regular,,ISR,ISR,,,,
1207A,Round,1.25,D,,VVS2,Excellent,61.6,59,Excellent,33.5,13.5,,41.8,,,,Excellent,None,6.96 - 6.94 x 4.29,None,Medium To Slightly Thick,GIA,2348606389,,,11582.8125,9266.25,No,Yes,No,Regular,,ISR,ISR,,,,
1212A,Round,1.31,G,,VS1,Excellent,60.2,62,Excellent,34,13,,41.4,,,,Very Good,None,7.11 - 7.09 x 4.28,None,Thin To Slightly Thick,GIA,6345753450,,,8449.6965,6450.15,No,Yes,No,Regular,,ISR,ISR,,,,
1214A,Round,1.3,F,,SI1,Excellent,61.6,60,Excellent,35,14,,41,,,,Excellent,None,7.00 - 6.96 x 4.30,None,Medium To Slightly Thick,GIA,2176796066,,,7697.235,5920.95,No,Yes,No,Regular,,ISR,ISR,,,,
1215B,Round,1.35,F,,SI1,Excellent,61.7,57,Excellent,34.5,14.5,,41.4,,,,Excellent,None,7.14 - 7.12 x 4.40,None,Thin To Medium,GIA,6341358981,,,7993.2825,5920.95,No,Yes,No,Regular,,ISR,ISR,,,,
1217A,Round,1.31,E,,VS1,Excellent,61.2,57,Excellent,34.5,15,,41,,,,Very Good,None,7.12 - 7.04 x 4.33,Very Small,Thin To Medium,GIA,1146309173,,,10360.266,7908.6,No,Yes,No,Regular,,ISR,ISR,,,,
1218A,Round,1.34,E,,VS1,Excellent,60.6,58,Excellent,34.5,14.5,,41,,,,Excellent,None,7.17 - 7.14 x 4.34,None,Thin To Medium,GIA,2131842392,,,11046.357,8243.55,No,Yes,No,Regular,,ISR,ISR,,,,
1225B,Round,1.4,E,,VS1,Very Good,61,60,Very Good,34.5,13.5,,42,,,,Very Good,None,7.28 - 7.22 x 4.43,None,Thin To Medium,GIA,1349280349,,,11072.04,7908.6,No,Yes,No,Regular,,ISR,ISR,,,,
1226A,Round,1.4,E,,VVS2,Excellent,60.9,62,Excellent,34.5,13,,41.4,,,,Excellent,Faint Blue,7.22 - 7.17 x 4.38,None,Medium To Slightly Thick,GIA,6341606497,,,12492.06,8922.9,No,Yes,No,Regular,,ISR,ISR,,,,
1227A,Round,1.4,D,,VS2,Excellent,61.4,59,Excellent,33.5,13.5,,41.4,,,,Excellent,Faint Blue,7.19 - 7.18 x 4.41,None,Medium To Slightly Thick,GIA,1139872989,,,11127.9,7948.5,No,Yes,No,Regular,,ISR,ISR,,,,
1228A,Round,1.4,D,,VS1,Very Good,62.1,61,Excellent,36,14.5,,41.4,,,,Excellent,Faint Blue,7.16 - 7.14 x 4.44,None,Medium To Slightly Thick,GIA,1348609434,,,12268.62,8763.3,No,Yes,No,Regular,,ISR,ISR,,,,
1233A,Round,1.63,G,,VS2,Excellent,60.4,59,Excellent,34.5,14,,40.8,,,,Excellent,None,7.64 - 7.60 x 4.60,None,Medium To Slightly Thick,GIA,2344752080,,,12692.484,7786.8,No,Yes,No,Regular,,ISR,ISR,,,,
1235A,Round,1.5,F,,SI1,Excellent,59,61,Excellent,33,12.5,,41,,,,Very Good,Faint Blue,7.51 - 7.49 x 4.42,None,Thin To Medium,GIA,2346752599,,,10259.55,6839.7,No,Yes,No,Regular,,ISR,ISR,,,,
1236A,Round,1.5,F,,SI1,Excellent,58.7,62,Excellent,33,12.5,,41,,,,Very Good,None,7.52 - 7.47 x 4.40,None,Medium,GIA,2236707308,,,10560.375,7040.25,No,Yes,No,Regular,,ISR,ISR,,,,
1237A,Round,1.54,F,,SI1,Excellent,59.9,60,Excellent,33,13,,41,,,,Excellent,None,7.51 - 7.49 x 4.49,None,Medium To Slightly Thick,GIA,2161712523,,,10997.217,7141.05,No,Yes,No,Regular,,ISR,ISR,,,,
1242A,Round,1.5,E,,VS2,Excellent,59.3,61,Excellent,32.5,12,,41.2,,,,Excellent,None,7.49 - 7.45 x 4.43,None,Medium To Slightly Thick,GIA,2165353240,,,13513.5,9009,No,Yes,No,Regular,,ISR,ISR,,,,
1244A,Round,1.51,E,,VS1,Good,58.7,67,Very Good,36.5,12.5,,41.4,,,,Good,None,7.51 - 7.43 x 4.38,Small,Thin To Medium,GIA,6204798280,,,12125.904,8030.4,No,Yes,No,Regular,,ISR,ISR,,,,
1244D,Round,1.52,E,,VVS2,Very Good,61,59,Excellent,29.5,11.5,,42.4,,,,Very Good,Faint Blue,7.52 - 7.46 x 4.57,Very Small,Thin To Medium,GIA,6342609645,,,14597.016,9603.3,No,Yes,No,Regular,,ISR,ISR,,,,
1247A,Round,1.65,D,,VS2,Excellent,60.2,59,Excellent,33.5,13.5,,41.4,,,,Excellent,None,7.71 - 7.69 x 4.63,None,Thin To Medium,GIA,2344752096,,,16444.89,9966.6,No,Yes,No,Regular,,ISR,ISR,,,,
